"professor","Course.Name","Survey.Period","Svy.Rcv","Exp","X.","I.would.recommend.this.professor.to.other.students","When.I.sought.consultation.about.this.course..the.professor.was.available.outside.of.class.time","I.received.adequate.supervision.over.my.work.on.the.project","I.received.my.placement.in.a.timely.fashion","I.received.the.project.in.a.timely.fashion","In.the.course.of.working.on.my.clinic.projects..I.received.thorough.and.useful.supervision","My.experience.at.the.field.placement.was.positive","My.experience.in.the.field.work.component.enhanced.my.understanding.and.the.insights.I.gained.in.the","The.class.covered.meaningful.and.worthwhile.subject.matter.","The.class.improved.my.lawyering.skills","The.clinic.has.improved.my.ability.to.function.as.a.lawyer","The.clinic.projects.and.classroom.components.of.the.course.were.integrated.effectively","The.professor.adjusted.the.class.for.the.online.distance.learning.format","The.professor.s.feedback.on.my.project.work.was.helpful.in.revising.my.work","The.project.was.well.defined","The.readings.were.useful.and.well.integrated.into.the.course.and.or.provided.helpful.background.for","The.seminar.classes.enhanced.the.field.work.component","How.well.has.the.professor.adjusted.the.class.for.the.online.environment.","I.had.a.helpful.personal.consultation.with.the.professor.about.my.draft.paper","I.received.helpful.guidance.regarding.research.strategy.from.the.professor.and.or.from.a.guest.lectu","The.professor.adjusted.the.class.for.the.online.environment.","The.professor.challenged.students.to.think.critically","The.professor.created.a.learning.environment.that.was.hospitable.to.all.students","The.professor.provided.detailed.written.feedback.on.my.preliminary.draft.s..of.the.paper","The.professor.provided.timely.and.useful.comments.on.my.outline.or.other.preparatory.written.product","The.professor.taught.the.course.well","The.professor.s.feedback.on.the.preliminary.draft.s..was.will.be.helpful.in.revising.my.paper","n_courses"
"Lisenbee, Melissa","Principles of US Financial Reg",202125,10.5,15,71,4.3,4.7,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,4.9,4.6,NA,NA,4.45,NA,2
"Lisenbee, Melissa","US Legal Res. Anlsys & Writing",201930,9,11,82,5,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.9,NA,1
"Liu, Michelle","Intl Women's Human Rights Clin",201942,6.4,8,80.2,4.25,4.725,NA,NA,NA,4.48,NA,NA,4.7,NA,4.18,4.28,NA,NA,NA,4.42,NA,NA,NA,NA,NA,4.4,4.5,NA,NA,4.225,NA,5
"Loeb, Elizabeth","Externship I Seminar (J.D. Externship Program)",201830,13,16,81,3.2,4,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,3.2,4.1,NA,NA,3.5,NA,1
"Loesch, Michael","Derivatives Mkt Reg Dodd-Frank",202060,7.25,17,37.25,4.225,4.5,NA,NA,NA,NA,NA,NA,4.525,NA,NA,NA,NA,NA,NA,4.075,NA,NA,NA,NA,NA,4.2,4.725,NA,NA,4.25,NA,4
"Long, Jennifer","Prosecuting Sexual Violence",202060,6,8.5,73.75,4.875,4.85,NA,4.775,NA,NA,4.5,4.6,5,4.65,NA,NA,NA,NA,NA,4.3,4.4,NA,NA,NA,NA,4.65,4.925,NA,NA,4.875,NA,4
"Lopez, Christy","Criminal Justice",202060,38.5,64.5,58.5,4.35,4.675,NA,NA,NA,NA,NA,NA,4.775,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.675,4.65,NA,NA,4.4,NA,4
"Lopez, Christy","Decentering the Police Practic",202230,7,14,50,4.4,4.9,3.9,NA,4.7,NA,NA,NA,4.9,NA,NA,NA,NA,4.2,4.6,4.6,NA,NA,NA,NA,NA,4.9,4.7,NA,NA,4.4,NA,1
"Lopez, Christy","Innovative Policing: From Theo",201920,6,13,47.25,4.925,4.675,4.55,NA,4.625,NA,NA,NA,4.95,NA,NA,NA,NA,4.65,4.375,4.425,NA,NA,NA,NA,NA,4.775,4.9,NA,NA,4.875,NA,4
"Lopez, Christy","Police Abolition Seminar",202030,13,22,59,4.7,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.5,NA,NA,5,3.9,NA,4.7,4.7,3.8,4.7,4.7,4.8,1
"Lopez, Christy","Police Accountability Seminar",202130,8,18,44,5,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.9,NA,NA,4.7,3.3,NA,5,4.9,2.8,4.7,5,4.7,1
"Lopez, Christy","Reading the Police Seminar",202160,12.5,18.5,68,4.9,4.75,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,4.85,NA,2
"Lopez, James","Beyond the IPO",202030,7,14.375,46,4.662,4.375,NA,NA,NA,NA,NA,NA,4.825,NA,NA,NA,4.7,NA,NA,4.45,NA,4.9,NA,NA,NA,4.513,4.8,NA,NA,4.662,NA,8
"Lopez, Jeffrey","Writing for Law Practice",202020,8,11.375,69.5,4.7,4.925,NA,NA,NA,NA,NA,NA,4.838,NA,NA,NA,NA,NA,NA,4.375,NA,NA,NA,NA,NA,4.662,4.787,NA,NA,4.638,NA,8
"Lopez, Jonathan","Anatomy of Fed Criminal Trial",202080,9.25,13,71,4.975,4.85,NA,NA,NA,NA,NA,NA,4.925,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.925,5,NA,NA,4.95,NA,4
"Lopez, Jonathan","Anatomy of a Federal Trial",201830,10,14,71,4.8,4.6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.7,4.8,NA,NA,4.8,NA,1
"Losco, Valeria","Intl and Comp. Antitrust Law",202065,6.25,13.25,55,4.125,4.65,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,4.3,4.55,NA,NA,4.275,NA,4
"Loss, Brian","Corporate Income Tax Law I",202180,22.5,32.5,69.5,4.6,4.8,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.7,4.8,NA,NA,4.6,NA,2
"Lovvorn, Jonathan","Animal Law",202210,5,8,63,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Lovvorn, Jonathan","Animal Protection Litigation",202130,5,7.667,65.667,4.867,4.933,NA,4.8,NA,NA,4.733,4.933,5,4.7,NA,NA,NA,NA,NA,4.667,4.733,NA,NA,NA,NA,5,4.933,NA,NA,4.8,NA,3
"Lowell, Abbe","Criminal Procedure",202210,38,48,79,4.1,4.7,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.3,4.6,NA,NA,4.1,NA,1
"Lowther, Frederick","Renewable Energy Seminar",202210,5,17,29,4.6,4.8,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,4.8,4.6,NA,NA,4.6,NA,1
"Luban, David","American Legal Profession",201980,31,42,73.5,4.65,4.95,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.8,NA,2
"Luban, David","Criminal Law Across Borders",202110,35.5,53,68,4.65,4.9,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,4.6,5,NA,NA,4.7,NA,2
"Luban, David","Intl Criminal Law",201910,31,40,78,4.9,4.8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.9,NA,1
"Luban, David","Law and Philosophy Seminar",201930,11,24,46,4.9,4.8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,4.8,4.3,NA,4.8,4.8,4.9,4.8,4.7,4.9,1
"Luban, David","Legal Justice Lecture",201980,74,112.5,65.5,4.3,4.25,NA,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,NA,4.15,NA,NA,NA,NA,NA,4.05,4.5,NA,NA,4.3,NA,2
"Luban, David","Legal Justice Seminar",201963.333,20,22.667,88,3.933,4.367,NA,NA,NA,NA,NA,NA,4.233,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.067,4.233,NA,NA,3.833,NA,3
"Luban, David","Legal Justice Seminar Lecture",201930,98,114,86,3.8,4.3,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,3.7,3.6,NA,NA,3.9,NA,1
"Luban, David","Legal Philosophy Seminar",202230,11,18,61,4.7,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,5,4.3,NA,4.8,4.7,4.7,4.5,4.9,4.6,1
"Lucey, Daniel","Global Outbreaks",201960,15.5,19,82,4.8,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,4.85,4.9,NA,NA,4.75,NA,2
"Lucey, Daniel","Pan-Epidemics & PHEICS",202160,12,21,57,4.85,4.75,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,4.85,4.85,NA,NA,4.8,NA,2
"Lugo, Neha","Intl Human Rights Law",201910,14,18,78,4.5,4.7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.7,NA,1
"Luskin, Robert","Global Anti-Corruption Sem",202060,10.25,18.75,54.25,4.825,4.8,NA,NA,NA,NA,NA,NA,4.925,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.95,4.875,NA,NA,4.825,NA,4
"Lyman, Jennifer","Professional Responsibility",201880,24.5,34.5,71.5,3.7,3.95,NA,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA,4.2,4.35,NA,NA,3.65,NA,2
"Lynk, Myles","Professional Responsibility",202130,33,51,65,3.5,4.1,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4.2,3.8,NA,NA,3.9,NA,1
"Lynn, David","Beyond the IPO",202130,6.6,14.8,41.6,4.52,4.22,NA,NA,NA,NA,NA,NA,4.76,NA,NA,NA,NA,NA,NA,4.38,NA,4.95,NA,NA,NA,4.32,4.5,NA,NA,4.52,NA,5
"Maassarani, Tarek","Restorative Justice: Theo & Pr",202160,14,23.5,59.5,4.7,4.15,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.65,4.9,NA,NA,4.7,NA,2
"Maassarani, Tarek","Week One Teaching Fellows",202060,1.5,3.5,41.5,4.75,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.75,4.5,NA,NA,4.75,NA,2
"MacDougall, Mark","Federal White Collar Crime",202110,28,47,60.5,4.8,4.75,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.6,4.85,NA,NA,4.7,NA,2
"MacDougall, Mark","Sentencing Law and Policy",202046,19.6,27.2,70.8,4.58,4.5,NA,NA,NA,NA,NA,NA,4.76,NA,NA,NA,NA,NA,NA,4.52,NA,NA,NA,NA,NA,4.5,4.78,NA,NA,4.64,NA,5
"Madigan, Michael","Civil Discovery in Fed Courts",202030,11.667,16,72,4.3,4.533,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.333,4.633,NA,NA,4.167,NA,3
"Magnier, Veronique","Comparative Corp Governance",202043.333,11.667,19.667,59.333,4.5,4.633,NA,NA,NA,NA,NA,NA,4.667,NA,NA,NA,NA,NA,NA,4.633,NA,NA,NA,NA,NA,4.7,4.7,NA,NA,4.567,NA,3
"Magnusson, Roger","Law & Healthy Lifestyles",201960,19,28.5,67.5,4.45,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.5,4.9,NA,NA,4.55,NA,2
"Makar, Zina","Civil Rights Clinic",202020,11.5,11.5,100,4.825,5,NA,NA,NA,4.825,NA,NA,4.925,NA,4.925,4.25,NA,NA,NA,4.25,NA,NA,NA,NA,NA,4.85,4.8,NA,NA,4.8,NA,4
"Malepati, Sunitha","Social Enterprise & Nonprofit",201970,7.667,11.167,68.5,4.717,4.833,NA,NA,NA,4.5,NA,NA,4.7,NA,4.783,4.483,NA,NA,NA,4.417,NA,NA,NA,NA,NA,4.767,4.8,NA,NA,4.883,NA,6
"Malin, Mary","Foreign Relations Law",202023.333,9,13.333,68,4.133,4.3,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,NA,4.467,NA,NA,NA,NA,NA,4.167,4.367,NA,NA,4.2,NA,3
"Malyshev, Peter","CMDTY & Derivatives Markets",202230,6,10,60,4.6,4.3,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.4,4.6,NA,NA,4.4,NA,1
"Malyshev, Peter","Regulation of Derivatives",201980,5,7.5,67.5,4.75,4.525,NA,NA,NA,NA,NA,NA,4.925,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.65,4.825,NA,NA,4.825,NA,4
"Mandel-Anthony, David","Transitional Justice",201880,8,10,81.5,4.85,4.5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,4.9,4.75,NA,NA,4.8,NA,2
"Mandelberg, Matthew","US Legal Res. Anlsys & Writing",201930,11,14,79,2.9,4.5,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,3.6,4.2,NA,NA,3.3,NA,1
"Mannino, Melissa","National Security Regulation",202030,9.333,15,64,4.567,4.533,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,NA,4.333,NA,NA,NA,NA,NA,4.433,4.833,NA,NA,4.6,NA,3
"Marciano, Simon","Jewish Law Seminar",202060,4.25,10.5,42,4.725,4.375,NA,NA,NA,NA,NA,NA,4.525,NA,NA,NA,NA,NA,NA,3.725,NA,NA,4.55,4.675,NA,4.9,4.475,4.35,4.425,4.75,4.475,4
"Marcin, Joshua","Appellate Litigation Clinic",202160,9.5,16,59.5,4.9,4.85,NA,NA,NA,4.55,NA,NA,4.8,NA,4.65,4.4,NA,NA,NA,4.45,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,4.9,NA,2
"Marcovitz, Jennifer","Foreign Relations Law",202130,9,14,64,4.1,4.4,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.1,4.2,NA,NA,4.1,NA,1
"Marcus, Stephen","Prof Resp: The Ethical Lawyer",202060,14,26.5,53.5,4.35,4.55,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,4.55,4.55,NA,NA,4.55,NA,2
"Marlaire, Sean","US Legal Res. Anlsys & Writing",202010,9.667,10.667,90.333,4.7,4.867,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,4.767,4.867,NA,NA,4.8,NA,3
"Marshak, Amy","Constitutional Impact Lit Prac",202130,4,8,50,5,5,4.8,NA,5,NA,NA,NA,5,NA,NA,NA,NA,4.5,4.8,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Marshak, Amy","Judicial Biographies Seminar",201920,7,8,88,4.9,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.7,5,NA,NA,4.9,NA,1
"Martinez, Vincente","Emerging Issues Fin Servs Reg",202210,10,14,71,4.6,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.5,5,NA,NA,4.8,NA,1
"Martinez, Vincente","Evolutio of Finan Services Reg",202010,3,5,60,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Marvel, L.","Tax Research & Writing",201830,14,24,58,4.4,4.4,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,4.6,4.4,NA,NA,4.4,NA,1
"Massad, Timothy","Financial Reg & Fin Crisis",202060,11.5,19.875,50.625,4.638,4.688,NA,NA,NA,NA,NA,NA,4.838,NA,NA,NA,NA,NA,NA,4.675,NA,4.767,NA,NA,4.8,4.662,4.825,NA,NA,4.737,NA,8
"Massey, William","Enrgy Tradg & Market Reg",202013.333,6.833,10.833,59.5,4.483,4.633,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4.633,NA,3.5,NA,NA,NA,4.75,4.783,NA,NA,4.667,NA,6
"Massimino, Elisa","Effective Human Rts Advocacy",202083.333,10.667,17.333,62.333,4.767,4.833,NA,NA,NA,NA,NA,NA,4.667,NA,NA,NA,NA,NA,NA,4.533,NA,NA,NA,NA,NA,4.5,4.867,NA,NA,4.5,NA,3
"Mates, Carol","Intl Business Transactions",202060,12,15,82,4.6,4.8,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.625,4.875,NA,NA,4.7,NA,4
"Matese, Victoria","Negotiating a M&A Transaction",202210,13,20,65,4.8,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.6,5,NA,NA,4.8,NA,1
"Mathieson Hughes, Christina","Habeas Corpus Post Conviction",202080,10.25,12,85.5,4.675,4.875,4.525,NA,4.55,NA,NA,NA,4.9,NA,NA,NA,NA,4.5,4.2,4.625,NA,NA,NA,NA,NA,4.6,4.975,NA,NA,4.75,NA,4
"Matz, Joshua","Const Litig & Curr Administrtn",201960,7,19.5,36.5,4.8,4.55,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,4.65,NA,NA,4.8,NA,2
"Matz, Joshua","Const Litigation & Exec Branch",202160,6,15,41.5,5,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,5,4.8,NA,NA,5,NA,2
"Mayerson, Marc","Insurance Law",201880,5.5,9,64,3.55,4.25,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,3.65,3.6,NA,NA,3.65,NA,2
"Mayo, Daniel","Tax of Fin. Instmts. & Trans.",202030,2.2,9.4,26.4,4.1,4.625,NA,NA,NA,NA,NA,NA,4.86,NA,NA,NA,NA,NA,NA,4.16,NA,5,NA,NA,3.7,4.22,4.7,NA,NA,4.2,NA,5
"Mayo, Daniel","Taxation of Financial Instruments and Transactions",201820,2,15,13,3.5,5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3.5,4,NA,NA,3.5,NA,1
"McCarthy Gallagher, Deirdre","Negotiations and Medation Semi",202030,17,23.333,72.333,4.733,4.867,NA,NA,NA,NA,NA,NA,4.767,NA,NA,NA,NA,NA,NA,4.233,NA,NA,NA,NA,NA,4.6,4.9,NA,NA,4.7,NA,3
"McCarthy Gallagher, Deirdre","Negotiations and Mediation Sem",202230,18,24,75,4.6,4.9,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4.6,4.8,NA,NA,4.7,NA,1
"McCarthy Gallagher, Deirdre","Negotiations and Mediation Seminar",201830,11,24,46,4.7,4.5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.8,NA,1
"McCarty, Patrick","Cryptocurrencies, Ini Coin Off",201950,7.6,11,65.8,4.28,4.46,NA,NA,NA,NA,NA,NA,4.54,NA,NA,NA,NA,NA,NA,4.36,NA,NA,3.7,2.9,NA,4.34,4.5,3,3.233,4.18,3.2,5
"McCarty, Patrick","Digital Assets & the Law Semin",202230,3,7,43,2.3,3.7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3.3,NA,NA,1,2,NA,1.7,4,4.5,3.5,2.3,3.5,1
"McClymont, Mary","Tackling Civil Access to Just",201910,4,7,57,5,5,NA,5,NA,NA,4.8,5,5,4.8,NA,NA,NA,NA,NA,4.5,4.3,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"McCord, Mary","Constitutional Impact Lit Prac",202070,5.25,8,65.875,4.888,4.875,4.475,NA,4.75,NA,NA,NA,4.938,NA,NA,NA,NA,4.375,4.65,4.912,NA,NA,NA,NA,NA,4.9,4.912,NA,NA,4.912,NA,8
"McCord, Mary","National Security Law",201980,22.5,34.5,65,5,4.9,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,5,4.85,NA,NA,4.95,NA,2
"McCormick, Kathaleen","Adv Top Corp Law: Control",202110,6.667,24,28,4.467,4.533,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,4.767,5,NA,NA,4.6,NA,3
"McCormick, Kathaleen","Adv Top Corp Law: Mgmt Miscond",202080,10,34.75,29.5,4.425,4.3,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,3.975,NA,NA,NA,NA,NA,4.625,4.425,NA,NA,4.425,NA,4
"McCubbin, Sabrina","US Legal Res. Anlsys & Writing",202130,16,18,89,4.8,4.6,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.8,NA,1
"McFarlane, Audrey","Property",202210,65,98,66,3,4.1,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4.1,3.8,NA,NA,3.5,NA,1
"McGovern, Kathleen","White Collar Crime",202042.222,4.889,10.667,47.556,4.633,4.8,NA,NA,NA,NA,NA,NA,4.689,NA,NA,NA,NA,NA,NA,4.644,NA,4.5,NA,NA,NA,4.456,4.878,NA,NA,4.622,NA,9
"McGowan, Angela","Public Health Law and Ethics",202210,8,10,80,4.8,5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.6,5,NA,NA,4.8,NA,1
"McGrath, Dean","Const Aspect Foreign Affrs Sem",201930,7,11,64,4.167,4.567,NA,NA,NA,NA,NA,NA,4.467,NA,NA,NA,NA,NA,NA,3.833,NA,NA,4.4,4.233,NA,4.6,4.133,4.267,4.433,4.2,4.267,3
"McKean, Maeve","Bioethics and Social Justice",201930,7,13,54,4.3,5,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,4.4,4.7,NA,NA,4.1,NA,1
"McKee, Christopher","Intel Prop Lit: Pretrial Skill",201880,4,9.5,44,5,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"McKenzie, Ray","Trial Practice",202138,3.4,8.4,37.4,4.82,4.88,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.72,4.72,NA,NA,4.76,NA,5
"McKinney, Scott","Adv Legal Writing: IP & Tech",202060,8.75,12.75,69,5,4.95,NA,NA,NA,NA,NA,NA,4.975,NA,NA,NA,NA,NA,NA,4.775,NA,NA,NA,NA,NA,4.95,5,NA,NA,5,NA,4
"McLaughlin, James","Free Press",202123.333,13,19,68.667,4.933,4.867,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.533,NA,NA,NA,NA,NA,4.833,4.967,NA,NA,4.9,NA,3
"McLaughlin, James","Free Press Seminar",201830,17,17,100,4.8,4.8,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.8,NA,1
"McLeish, Watson","Tax Research and Writing",202060,4.25,10.25,36.25,3.925,4.4,NA,NA,NA,NA,NA,NA,3.95,NA,NA,NA,NA,NA,NA,3.875,NA,NA,NA,NA,NA,4.375,4.15,NA,NA,4.475,NA,4
"McLeod, Allegra","Borders and Banishment Seminar",201930,12.333,17,73.667,4.8,4.833,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.733,NA,NA,4.6,4.3,NA,4.767,4.9,4.7,4.533,4.733,4.8,3
"McLeod, Allegra","Democracy and Coercion",202010,58,112.667,51.333,4.033,4.467,NA,NA,NA,NA,NA,NA,4.567,NA,NA,NA,NA,NA,NA,4.133,NA,NA,NA,NA,NA,4.4,4.167,NA,NA,3.833,NA,3
"McLeod, Allegra","Legal Justice Seminar",201980,18,24,76,4.9,4.85,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,4.9,4.8,NA,NA,4.75,NA,2
"McLeod, Jeffrey","Federalism in Practice",202030,4.2,6,69.4,4.96,4.96,NA,4.28,NA,NA,4.72,4.52,4.92,4.44,NA,NA,NA,NA,NA,4.52,4.6,NA,NA,NA,NA,4.86,5,NA,NA,4.88,NA,5
"McMahon, Susan","Adv Leg Pract: Writ in Leg Sph",201930,8,18,44,4.9,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,5,4.3,NA,4.8,5,5,4.7,4.9,5,1
"McMahon, Susan","Adv Legal Pract: Jud Opinions",202010,9,17,53,4.9,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.9,5,NA,NA,4.9,NA,1
"McMahon, Susan","Internal Investigation",201960,11.5,12,94.5,4.9,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.85,5,NA,NA,4.95,NA,2
"McMahon, Susan","Legal Practice: Writ/Analysis",202110,47,55,85,5,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,1
"McMahon, Susan","Legal Practice: Writing and Analysis",201830,42,57,74,5,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.9,NA,1
"McMahon, Susan","Legal Writing Sem:Theory&Pract",202110,3,6,50,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,NA,5,5,5,5,5,5,1
"McMahon, Susan","Legal Writing Seminar: Theory and Practice for Law Fellows",201830,2,7,29,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
