Section Content,Course ID,Course Name,Course Limit,Prerequisite,Note,Recommended,Mutually Excluded Courses,Professor_1,Professor_1 Link,Professor_2,Professor_2 Link,Professor_3,Professor_3 Link,Time
"Studies problems and considerations arising in the litigation of federal tax cases before the U.S. Tax Court, District Court, and the Court of Federal Claims, including jurisdictional, procedural, ethical and evidentiary issues. Practical problems of choice of forum, pleadings, discovery, privileges and tax trial practice are surveyed. Considerable attention is given to IRS summons enforcement litigation, privileges, civil collection, levy and distraint, collection due process, criminal tax litigation, and the tax lien and its priorities. Government attorneys, practicing attorneys, and U.S. Tax Court Judges are utilized as guest lecturers on some of the subject matter.  This is a comprehensive course covering all aspects of tax litigation. ",LAW 858 v00,Tax Practice and Procedure (Litigation),,"Prerequisite:
Federal Income Taxation.",,,,Alan C. Levine,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzE4NTg2,Peter K Reilly,https://www.law.georgetown.edu/faculty/?redirect=RzAwODY3MjM2,,,
"The “tax research” portion of the course will cover the hierarchy of authority and other information sources most relevant to tax lawyers.  We will begin with an overview of the federal tax legislative and regulatory processes and their research trails.  Next, we will explore the universe of subregulatory guidance, written determinations, and other information produced by the Department of the Treasury and the Internal Revenue Service.  Then, we will dive into the world of judicial opinions and examine the three choices of forum available for litigating a federal tax dispute.  The final “tax research” class will focus in depth on U.S. international tax research and, in particular, on tax treaties and the role thereof in the U.S. tax system.  Students will complete weekly practice-oriented research assignments to develop a working familiarity with where this authority or other information can be found and the relative weight thereof.
The “writing” portion of the course will focus on developing effective legal writing skills.  The ability to succinctly—and authoritatively—convey one’s thoughts in a written work product is an essential skill in the legal profession.  The strength of a legal argument depends not only on the sources of authority cited but also on the manner in which those authorities are presented.  Students will apply their legal research and writing skills in completing a graded analytical writing assignment (e.g., research memorandum, opinion letter), along with a short persuasive writing exercise, on a timely federal tax issue.",LAW 809 v02,Tax Research and Writing,Limit: Varies by section,"Prerequisite:
Federal Income Taxation and prior or concurrent enrollment in Corporate Income Tax Law I or Corporate Taxation (formerly Taxation II).",,,,John Dilorio,https://www.law.georgetown.edu/faculty/?redirect=RzAxMDAxNzM0,,,,,W 5:45pm-7:45pm (1/16 to 4/27)
"International tax treaties determine why hedge funds are located where they are, how motion pictures are financed, whether the dispatch of employees abroad is economical, and why financial assets follow prescribed international paths. They determine why Netherlands and Luxembourg have a large positive balance of trade with the United States, and why recording studios are established in the Caribbean. They determine whether bank accounts in Switzerland and Liechtenstein are really secret. While tax treaties ostensibly are only about dividing up tax bases between countries and exchanging information between sovereigns, in reality they channel the flow of investment and development in the global economy.
This course assumes that students have some familiarity with basic tax treaty concepts and examines how provisions of the OECD Model Treaty and the United States Model Treaty are used by tax practitioners to achieve specific business objectives. Students will acquire an understanding of how treaty provisions help shape economic and financial decisions in different industries and economic sectors. The course uses examples drawn from actual practice to illustrate the creative use of tax treaty provisions. It is designed to be an interactive experience, with students working on case studies, discussing alternative approaches, and using different jurisdictions and changes in the form of the underlying transaction to achieve desirable tax results.
Learning objectives:
This course is intended to teach the concepts underlying the United States Model Tax Treaty and the OECD Model Tax Treaty. By the end of the course, students are expected to understand how tax treaties are organized and be able to apply the model tax treaties to factual situations in which the tax treaties are applicable.
At the same time, the course is intended to challenge the student to be aware of the ethical challenges and risks of practice in the area of international taxation. More and more, tax authorities are not only looking to penalize a taxpayer for improper tax planning, but also the tax advisor who recommended the course of action followed by the taxpayer. By the end of the course, students are expected to be able to understand where the borders of ethical behavior are when developing international tax structures and to be able to analyze risks to the clients and themselves when working in this area.
Finally, the course is intended to reinforce principles of close reading and attention to the specific wording used in the tax treaties and cases interpreting the tax treaties. By the end of the course, students are expected to be able to read and understand why specific words are used in tax treaties and the significance of these words.",LAW 846 v00,Tax Treaties,,"Prerequisite:
Federal Income Taxation and one course in international taxation.","Note:
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. ",,,Lloyd De Vos,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI2ODE5,,,,,
"This class will focus on the Internal Revenue Code provisions that deal with taxpayers restructuring either in a bankruptcy proceeding or outside of bankruptcy, and how the Bankruptcy Code deals with existing tax obligations. This class will also examine tax obligations incurred during a bankruptcy case, cancellation of indebtedness, the termination of tax through a bankruptcy court, and related corporate tax issues.",LAW 1842 v00,Taxation of Bankruptcies & Workouts,Limit: Varies by section,"Prerequisite:
Federal Income Taxation",,"Recommended:
Corporate Income Tax Law I or Corporate Taxation",,Robert H. Liquerman,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI0MjM0,Alexander Schmidt,https://www.law.georgetown.edu/faculty/?redirect=RzAxMDIzMTEx,,,
"The energy industry has undergone dramatic change in recent years. The US power sector is undergoing a transformation from a coal-based sector to one that now has incredible diversity between natural gas, wind, solar and even nuclear energy now leading the way in new development. Likewise, the oil and gas sector has seen a revolution in responses to changing US energy policy and energy politics. More so than almost any other industrial sector, energy is highly influenced by the tax law. The economics of renewable and alternative energy is highly dependent on specific tax credits designed to encourage their development.
This course will examine these important areas of energy tax policy:
taxation of electric utility and natural gas markets (including tax changes flowing from deregulation of these markets),
tax subsidies and tax incentives for alternative energy development (including analysis of creative tax-planning structures designed to maximize the value of these incentives), and
new tax incentives included in the Inflation Reduction Act of 2022.
The course is designed to help students appreciate the role tax plays in the generation of energy in the US and issues confronted by tax practitioners in this rapidly changing environment. There will be a final examination at the end of the semester.  Class attendance and participation is encouraged. ",LAW 945 v00,Taxation of Energy Markets,Limit: Varies by section,"Prerequisite:
Federal Income Taxation.","Note:
This course is part of the following graduate programs: Environmental and Energy Law LL.M.","Recommended:
Corporate Tax Law I or Corporate Taxation (formerly Taxation II).",,Joseph Mikrut,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTE0NjEw,Jennifer Casey Bernardini,https://www.law.georgetown.edu/faculty/?redirect=RzAwMDM5NTE0,Hannah B. Hawkins,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTU1MjA4,
"The course will explore selected federal income tax issues relating to financial instruments and transactions. Major topics will include the legal and economic characteristics of indebtedness, equity, and derivatives, the fundamentals of the original issue discount (OID) rules, market discount and bond premium, variable rate and contingent payment debt instruments, the fundamentals of the tax rules for derivatives, hedging transactions, and anti-abuse rules such as straddles, wash sales, constructive sales, and conversion transactions.",LAW 2069 v00,Taxation of Financial Instruments and Transactions,,,"Note:
JD students may not enroll in this course. ",,,Daniel Mayo,https://www.law.georgetown.edu/faculty/?redirect=RzAwNDY4MTM1,,,,,"MW 9:00am-11:00am (1/17 to 2/14, 2/26 to 3/6)"
"This course examines in-depth the provisions of Subchapter K of the Internal Revenue Code and the regulations thereunder as they apply to the life cycle of a partnership, from formation to liquidation. Students will be able to evaluate the tax consequences of the most common partnership transactions, including the acquisition of a partnership interest, compensation of a service partner, distributions by the partnership to partners, and transfers of partnership interests. In addition, students will understand the mechanics and implications of profit and loss allocations, liability allocations, allocations with respect to built-in gain property and disguised sales of property between a partner and a partnership. Students will also have a basic understanding of partnership tax accounting, including creating and maintaining tax and book balance sheets.",LAW 362 v03,Taxation of Partnerships,Limit: Varies by section,"Prerequisite:
Federal Income Taxation.",,"Recommended:
Prior or concurrent enrollment in Corporate Taxation.","Mutually Excluded Courses:
Students may not receive credit for both this course and the LL.M. course, Taxation of Partnerships (LAWG-942).",Jon G. Finkelstein,https://www.law.georgetown.edu/faculty/?redirect=RzAwODA0ODUw,,,,,T 11:10am-1:10pm (1/16 to 4/27)
"This course examines in-depth the provisions of Subchapter K of the Internal Revenue Code and the regulations thereunder. Attention is given to the tax issues arising upon the formation, operation and liquidation of a partnership, including the consequences of acquisitions of partnership interests, distributions by the partnership to partners, the optional adjustment to basis of partnership property, the transfer of partnership interests, and current topics in partnership taxation.",LAW 942 v00,Taxation of Partnerships,,"Prerequisite:
Federal Income Taxation.",,,"Mutually Excluded Courses:
Students may not receive credit for both this course and the J.D. course, Taxation of Partnerships (LAWJ 362).",Jacob G Moore,https://www.law.georgetown.edu/faculty/?redirect=RzAwNzQ3NzUy,Barksdale Penick,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTUwNzU4,,,
"This year-long course introduces Tech Law Scholars in their first year of law school to key concepts that shape technology law and policy through presentations by faculty directors and advisors from the Georgetown Law Institute for Technology Law and Policy. Preparation for this class includes reading the assigned material, preparing reflections on the assigned material, and attending events on a variety of topics in the field of tech law and policy.
Learning Objectives:
Exposure to key concepts that shape technology law and policy; ability to engage on contemporary topics with leaders and experts in the field.",LAW 1496 v00,Tech Law Scholars Seminar I,,,"Note:
This course is open only to first year Technology Law and Policy Scholars.
Enrollment is by professor permission.
This course is offered on a mandatory pass/fail basis. This course does not count toward the seven credit pass/fail limit.",,,Mary P. Dwyer,https://www.law.georgetown.edu/faculty/?redirect=RzAwNDcwMjM4,,,,,F 11:10am-1:10pm (1/16 to 4/27)
"This year-long seminar is the mandatory second-year course for students in the Technology Law and Policy Scholars program. The seminar takes a deep dive into current ethical, constitutional and policy issues relating to technology through presentations by practitioners who work at the intersection of technology, law, and policy.
Student preparation for each session will include readings relevant to that week’s class, and submission of a written reflection paper ahead of class that draws on the reading, current events, and/or topics explored over the semester.
Learning Objectives:
Exposure to key issues and academic approaches in technology law and policy; ability to engage on contemporary topics with leaders and experts in the field.",LAW 1516 v00,Tech Law Scholars Seminar II,,,"Note:
This course is open only to second year Technology Law and Policy Scholars.
Enrollment is by professor permission.
This course is offered on a mandatory pass/fail basis. This course does not count toward the seven credit pass/fail limit.
Students may not withdraw from this class after the add/drop period ends without the permission of the professor.",,,Mary P. Dwyer,https://www.law.georgetown.edu/faculty/?redirect=RzAwNDcwMjM4,,,,,F 1:20pm-3:20pm (1/16 to 4/27)
"This course is a small, intense colloquium featuring outside speakers presenting scholarly works-in-progress. 
The focus of this year’s colloquium will be legal and policy issues relating to, and stemming from, the intersection and interaction of laws regulating content (i.e., copyright, trademark, and rights of publicity), and the laws regulating content distribution platforms (like Amazon and Netflix), including social media platforms (like Twitter, Facebook, and Tik-Tok). Topics may include, among other things: competition, content moderation, fake news, artificial intelligence, revenge porn, attention markets, big data, privacy, anonymity and harassment, influencers, dark patterns, deep fakes, bots, memes, and online fandom.
Students are expected to (i) carefully read the speakers’ papers; (ii) prepare short (2-3 page) weekly response memoranda that will be provided to the speakers in advance of the colloquium session, and (iii) attend, and actively engage in, weekly, in-person sessions, including the preparation and asking of at least two questions per class meeting.",LAW 1862 v00,Technology Law and Policy Colloquium: Content and Platforms,Limit: Varies by section,,"Note:
NOTE FOR LAWG SECTION: This section is restricted to students enrolled in the Technology Law and Policy LL.M. and the Master of Law and Technology.","Recommended:
Copyright Law and Trademark and Unfair Competition Law.",,Kristelia Garcia,https://www.law.georgetown.edu/faculty/?redirect=RzAxMDMyNDIx,,,,,M 3:30pm-5:30pm (1/16 to 4/27)
"This course will explore the political economy, governance, and legal regulation of global technology platform giants. After providing an introduction to the structure and operation of technology platforms, it will consider case studies from different parts of the globe that spotlight a range of current legal and policy problems, including, among others: content governance (including both content removal and content provision), privacy and data protection, internet access and digital inclusion, competition and consumer protection regulation within platform ecosystems, and platform entanglements with policing and state security activities.",LAW 1824 v00,Technology Platform Governance in Global Perspective Seminar,Limit: Varies by section,,"Note:
Enrollment in the LAWG section of the seminar is restricted to students in the Technology Law and Policy LL.M. and the Master of Law and Technology programs.
FIRST CLASS ATTENDANCE IS MANDATORY. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist.
The 2-credit version of this seminar requires multiple short papers. J.D. students must register for the 3-credit section of the seminar if they wish to write a paper fulfilling the J.D. Upperclass Legal Writing Requirement. The paper requirements of the 2-credit section will not fulfill the J.D. Upperclass Legal Writing Requirement.",,,Julie E. Cohen,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIzNjY4,,,,,T 5:45pm-7:45pm (1/16 to 4/27)
This section is full,LAW 008 v01,Torts,,,"Note:
This is a required course for first year students only.",,,,,,,,,
"This course will introduce students to the federal Lanham Act and related common law doctrines designed to protect against consumer confusion and appropriation of commercial goodwill. In addition to the technical requirements for trademark eligibility, registration, and infringement, we will consider the constitutional and economic underpinnings of trademark protection and evaluate current trends toward the ""propertization"" of trademark law. The course also will include material on the trademark treatment of Internet domain names, metatags, and links.
Learning Objectives:
Critical mastery of the existing statutory, doctrinal, and policy landscapes; critical mastery of strategic considerations in trademark and brand licensing and litigation, in technology ventures that implicate trademarks, and in trademark and unfair competition policymaking.",LAW 433 v00,Trademark and Unfair Competition Law,Limit: Varies by section,,,,,Julie E. Cohen,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIzNjY4,,,,,TTh 1:55pm-3:20pm (1/16 to 4/27)
"This course will introduce students to the federal Lanham Act and related common law doctrines designed to protect against consumer confusion and appropriation of commercial goodwill. In addition to the technical requirements for trademark eligibility, registration, and infringement, we will consider the constitutional and economic underpinnings of trademark protection and evaluate current trends toward the ""propertization"" of trademark law. We will also review and assess the reasons that trademarks can lose protectable status (e.g., becoming generic) and examine best practices in selecting, adopting and enforcing rights in trademarks. In addition to the final take-home exam, students will be required to write a mid-semester paper that will account for 25% of their final grade.
Learning Objectives:
By the end of the semester, you should be able to:
Differentiate between trademark, copyright, patent and trade dress laws;
Identify what designations can function as trademarks and understand the requirements for trademark protection;
Assess the degree of protectability of trademarks depending on their distinctiveness;
Understand the requirement of “use in commerce” for trademark protection, and evaluate whether particular usages of trademarks meet that requirement;
Grasp the process of obtaining federal registrations for trademarks;
Analyze whether uses of junior trademarks infringe the rights of owners of senior trademarks (i.e., whether there is a “likelihood of confusion”);
Evaluate whether a trademark is famous, and whether uses of other trademarks constitute dilution of famous marks by either blurring or tarnishment;
Determine whether a trademark owner has lost its rights in the mark, either through abandonment or “genericide”;
Identify and make arguments concerning defenses to trademark infringement and dilution (e.g., “fair use”); and,
Articulate the interplay and conflicts between trademark law and the First Amendment.",LAW 433 v01,Trademark and Unfair Competition Law,Limit: Varies by section,,"Note:
J.D. Students: Registration for this course will be open to Evening Division students only during the initial J.D. student registration windows. Full-time Day Division students will be able to add or waitlist this course beginning at 9:30 a.m. on Thursday, November 9, 2023.",,"Mutually Excluded Courses:
Students may not receive credit for both this course and Trademarks and Brands.",Erik Pelton,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTkzOTAy,,,,,W 5:45pm-8:50pm (1/16 to 4/27)
"This course focuses on transnational legal problems.  Transnational legal problems are problems that involve citizens of more than one country or involve activities that take place or have effects in more than one country.  Transnational legal problem-solving skills are important not only for lawyers working in the fields of human rights, international business, international dispute resolution and other distinctly “international” areas of practice.  They also are important for lawyers that do not have an international focus, because transnational legal problems frequently arise in diverse areas of law thought to be “domestic”—such as family law, environmental law, product liability litigation, civil rights litigation, criminal law, corporate law, and others.
Course Goals
The primary goal of this course is to give you an opportunity to learn how to analyze and advise clients on three fundamental issues that surround virtually any transnational legal problem:
What is the applicable law?  National law?  If so, U.S. law or foreign law?  International law?  Private rules?
What transnational dispute resolution methods are available and most appropriate?  Litigation in a national court?  If so, a U.S. court or a foreign court?  An international court?  Through alternative dispute resolution methods, like arbitration?
How can the outcome of a transnational dispute resolution process be enforced?
Another goal of the course is to provide a foundation for students wishing to pursue advanced study of international, transnational law or comparative law, including international litigation, international arbitration, international trade, international investment, human rights, or international business transactions.",LAW 1866 v00,Transnational Law and Practice,,,"Note:
This course is a first-year elective. First-year day students select an elective offered in the spring.",,,Gregory Shaffer,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTg1OTgy,,,,,MW 11:10am-12:35pm (1/16 to 4/27)
"In this simulation course, students will explore the major components of a trial in depth: opening statement; direct and cross-examination of fact witnesses; qualification, direct and cross-examination of expert witnesses; objections; impeachment; use of exhibits and visuals; and closing argument. Students will represent either the plaintiff or the defendant for each trial component. On the final day of class, working in teams of two, students will try the case presented in the simulated case file.
The focus of this course is “learning by doing” in a simulated courtroom setting from a prepared trial record. Specifically, each trial component will include demonstrations, opportunities to perform, feedback, and opportunities to perform again. Students will receive intensive, constructive feedback throughout the course.",LAW 1759 v00,Trial Practice,Limit: 20,"Prerequisite:
Evidence. Additionally, J.D. students must complete the required first-year program prior to enrolling in this course (part-time and interdivisional transfer students may enroll prior to completing Criminal Justice, Property, or their first-year elective).","Note:
This course is open to J.D. students only.
Attendance Is Mandatory At All Class Sessions. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety will result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Withdrawals are permitted up until the last class for this specific course.",,"Mutually Excluded Courses:
Mutually Excluded Courses: Students may not receive credit for both this course and Trial Practice and Applied Evidence or Patent Trial Practice.",Thomas Heiden,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTQzOTI3,,,,,FSaSu 9:00am-5:00pm (4/5 to 4/7)
"This course blends rigorous mock trial experiences with class discussion of trial techniques, strategy, and ethics. Students directly participate in a series of trial practice problems as witnesses and attorneys. Some sections use videotape as an aid to the learning process. Different instructors in this course emphasize different problems, including jury selection, motions and discovery practices, opening statements, direct and cross examination, handling exhibits, expert testimony, making and opposing objections, and closing arguments. The course is designed especially for students who wish to obtain some trial experience but lack the time to enroll in a regular litigation clinic. Note: Some sections of this course may require extended classes or extra meetings outside of class to accommodate a mock trial.
Learning Objectives for Professors Koukios, Last, and Tsao:
During the course, you will learn to develop a persuasive case theory, structure and deliver opening statements and closing arguments, and conduct effective direct and cross-examinations. You will also learn how to lay proper foundations to admit exhibits and other evidence at trial and to object to your opponent’s exhibits, evidence, and arguments. By the end of the course, you should have developed a sense of your personal courtroom style, an understanding of courtroom mechanics, and an appreciation of what it means to be a trial lawyer. Our goal is for you to have developed useful, basic advocacy skills to begin your legal careers.
Learning Objectives for Professor McKenzie:
Through this course, you will learn to develop a persuasive case theory, to structure and deliver opening statements and closing arguments, and to conduct effective direct examinations and cross-examinations. You will also learn to introduce exhibits in court, develop expert testimony, and make objections. A principal goal of this course is to help you to develop a courtroom style that reflects your personality and that is credible and persuasive. By the end of the course, you should develop a sense of your personal courtroom style, an understanding of courtroom mechanics, and an appreciation of what it means to be a trial lawyer.
Learning Objectives for Professors Williams, Glick, and McCarrick:
Students will develop an understanding of the trial process, from its foundational principles and processes through the mechanics of jury selection, opening statements, witness examinations, and closing arguments.",LAW 351 v01,Trial Practice,Limit: 12,"Prerequisite:
Civil Procedure (or Legal Process and Society); Criminal Justice (or Democracy and Coercion, or Criminal Procedure); Evidence.","Note:
The course is only open to J.D. students.
Note for Professors Williams, Glick, and McCarrick's course:
FIRST CLASS ATTENDANCE IS MANDATORY. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. To ensure that late withdrawals do not prevent a student on the waitlist from filling a course opening, students may not withdraw from this class after the add/drop period ends without the permission of the professor.
Note for Professors Durham and Poteat's course:
FIRST CLASS ATTENDANCE IS MANDATORY. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. To ensure that late withdrawals do not prevent a student on the waitlist from filling a course opening, students may not withdraw from this class after the add/drop period ends without the permission of the professor.",,"Mutually Excluded Courses:
Students may not receive credit for both this course and Advanced Evidence: Trial Skills; Civil Litigation Practice; Patent Trial Practice; and Trial Practice and Applied Evidence.",,,,,,,
"This course is taught by two Adjunct Professors, one a trial Judge, who have extensive trial experience and years of instructing law students and lawyers to be effective trial advocates. Prior to COVID, this course has been taught in a working courtroom in DC Superior Court. This course experience blends practical and rigorous on-your-feet exercises culminating in a mock trial, with class discussion of trial techniques, strategy, and ethics. Students directly participate in a series of trial practice problems as witnesses and attorneys. Some sections use videotape as an aid to the learning process.  Instructors in this course emphasize different problems, including jury selection, motions and discovery practices, opening statements, direct and cross examination, handling exhibits, expert testimony, making and opposing objections, and closing arguments. Guest lecturers present demonstrations in the use of technology in a trial courtroom. The course is designed especially for students who wish to obtain some trial experience but lack the time to enroll in a regular litigation clinic. Note: Some sections of this course may require an extended class or extra meetings outside of class to accommodate the mock trial as a final exam. ",LAW 351 v07,Trial Practice,Limit: 12,"Prerequisite:
Evidence.","Note:
This course is only open to J.D. students.
Students may not withdraw from this class after the add/drop period ends without the permission of the professor.",,"Mutually Excluded Courses:
Students may not receive credit for both this course and Advanced Evidence: Trial Skills; Civil Litigation Practice; Patent Trial Practice; and Trial Practice and Applied Evidence.",Michelle N. Bradford,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjM2MTE3,Heidi M. Pasichow,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTczNzAx,,,W 5:45pm-7:45pm (1/16 to 4/27)
"This course blends rigorous mock trial experiences with class discussion of trial techniques, strategy, and ethics. Students directly participate in a series of trial practice problems as witnesses and attorneys. Some sections use videotape as an aid to the learning process. Different instructors in this course emphasize different problems, including jury selection, motions and discovery practices, opening statements, direct and cross examination, handling exhibits, expert testimony, making and opposing objections, and closing arguments. The course is designed especially for students who wish to obtain some trial experience but lack the time to enroll in a regular litigation clinic. Note: Some sections of this course may require extended classes or extra meetings outside of class to accommodate a mock trial.
Learning Objectives:
In this practice-oriented course, students try three civil cases. Students act and are treated as counsel, and work with motions in limine, jury selection, opening statements, direct and cross-examination of lay and expert witnesses, demonstrative evidence, and closing arguments. The course emphasizes jury persuasion, exhibits, courtroom tactics and demeanor, and adapting to trial judges of varying demeanors. Students not assigned as trial counsel serve as witnesses and jurors. Proceedings are conducted pursuant to the Federal Rules of Civil Procedure and Evidence.
Students are assigned to teams, but a student's final grade will be based upon that individual's presence, punctuality, preparation, participation, and performance, with emphasis upon the progress observed throughout the semester. Students are encouraged to set and share personal goals to facilitate assessments throughout the semester. Assessments are necessarily subjective, with preparation, participation, performance, and progress weighted most heavily. Lack of participation is the greatest detriment to a “good” grade, because it makes preparation and progress difficult to perceive. Students may be given mid-semester feedback upon request.
This Section is for the student who (a) wants to experience trial practice in a true-life setting; (b) is a self-starter wanting to learn actively, through doing, not passively, through “how to” lectures; (c) is able to stay in role, as a lawyer or witness, and to hold questions or comments until the trial exercise has completed; (d) is able to give and receive constructive criticism; and (e) understands the value of learning through a group’s exchange of ideas.",LAW 351 v08,Trial Practice,Limit: 12,"Prerequisite:
Civil Procedure (or Legal Process and Society) and Evidence.","Note:
This course is only open to J.D. students.
Students may not withdraw from this class after the add/drop period ends without the permission of the professor.
J.D. Students: Registration for this course will be open to Evening Division students only during the initial J.D. student registration windows. Full-time Day Division students will be able to add or waitlist this course beginning at 9:30 a.m. on Thursday, November 9, 2023.","Recommended:
Concurrent enrollment in a professional responsibility course.","Mutually Excluded Courses:
Students may not receive credit for both this course and Trial Practice and Applied Evidence or Patent Trial Practice.",Alfred Belcuore,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI1ODcx,,,,,W 5:45pm-7:45pm (1/16 to 4/27)
"This course blends rigorous mock trial experiences with class discussion of trial techniques, strategy, and ethics. Students directly participate in a series of trial practice problems as witnesses and attorneys. Some sections use videotape as an aid to the learning process. Different instructors in this course emphasize different problems, including jury selection, motions and discovery practices, opening statements, direct and cross examination, handling exhibits, expert testimony, making and opposing objections, and closing arguments. The course is designed especially for students who wish to obtain some trial experience but lack the time to enroll in a regular litigation clinic. Note: Some sections of this course may require extended classes or extra meetings outside of class to accommodate a mock trial.
Learning Objectives:
The purpose of this course is to orient students with the basics of trying a civil or criminal case. We will cover topics such as developing the theme of the case, picking a jury, opening statements and closing arguments, direct and cross examinations, witness preparation, proffers of evidence, handling exhibits, the use of expert witnesses, and the use of jury instructions. The goal is prepare students to prepare and try cases in state and federal courts.",LAW 351 v13,Trial Practice,Limit: 12,,"Note:
This course is only open to J.D. students.",,"Mutually Excluded Courses:
Students may not receive credit for both this course and Trial Practice and Applied Evidence or Patent Trial Practice.",Ari S. Casper,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIzNjk5,,,,,M 3:30pm-5:30pm (1/16 to 4/27)
"This course is a traditional “Trial Practice” course with an additional credit hour to permit examination of the nuances of how some key aspects of the Federal Rules of Evidence are applied in a courtroom setting. The class combines rigorous civil and criminal mock trial exercises, demonstrations, and class discussion to enable students to develop both trial skills and an increased understanding of evidentiary rules. The course focuses on opening statements, direct and cross examination, making and opposing objections, handling exhibits, expert testimony, impeachment and rehabilitation, and closing argument. In addition, the course includes detailed examination and application of the rules of evidence regarding hearsay and hearsay exceptions (FRE 801-807), character and impeachment (FRE 404-406 and 607-609) and other issues, such as methods of refreshing recollection (FRE 612) and the use of prior statements by witnesses (FRE 613). There will also be exercises on opinions and expert testimony (FRE 701-706). The course is designed especially for students who wish to develop some trial experience but lack the time to enroll in a regular litigation clinic and those who wish to improve their understanding of the nuances of the rules of evidence. Note: This course may require extended classes or extra meetings outside of class to accommodate a mock trial.
Learning Objectives:
Students will learn how to prepare and present opening statements and closing arguments. In addition, they will learn to prepare and conduct direct examination and cross examination of of a wide variety of witnesses. They will also learn how to impeach and rehabilitate witnesses and how to introduce and oppose the introduction of witnesses. Throughout the course, students will learn how to apply the Federal Rules of Evidence and develop a fuller understanding of those rules.",LAW 1245 v00,Trial Practice and Applied Evidence,Limit: 12,"Prerequisite:
Evidence; Civil Procedure (or Legal Process and Society); Criminal Justice (or Democracy and Coercion, or Criminal Procedure).","Note:
Enrollment is limited to J.D. students only.
FIRST CLASS ATTENDANCE IS MANDATORY. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist.
To ensure that late withdrawals do not prevent a student on the wait list from filling a course opening, students may not withdraw from this class after the add/drop period ends without the permission of the professor.",,"Mutually Excluded Courses:
Students may not receive credit for both this course and Advanced Evidence: Trial Skills; Trial Practice; or Patent Trial Practice.",Craig S Iscoe,https://www.law.georgetown.edu/faculty/?redirect=RzAwMTI1OTY1,,,,,T 5:45pm-8:50pm (1/16 to 4/27)
